사업표준용어명,영문약어,설명,공공도메인,사업도메인,데이터타입,길이,허용값,저장형식,표현형식,이음동의어,출처
처리사유,PRCS_RSN,"사무나 사건 따위를 절차에 따라 정리하여 치르거나 마무리하는 일의 이유

[영문] Processing Reason",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
처리상태,PRCS_STTS,"완료 큐 항목의 처리 진행 상태. 단어 조합: 처리(PRCS, gov 2657) + 상태(STTS, gov 1291). completion_queue.status. (742 수집진행상태와 의미 분리)",,,,,,,,,KLID-2 D004 ERD-010
처리일시,PRCS_DT,"처리한 시점의 날짜와 시간 정보

[영문] Processing Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
처리정보,PRCS_INFO,"처리 과정 또는 내용에 대한 상세 정보

[영문] Processing Information",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
총회원수,TOTAL_MBR_CNT,전체 누적 회원 수(DFEAT-040/042 KPI). 총(prog:420)+회원(gov:3245)+수(gov:1440).,수N10,,,,,,,,KLID-PT D005 ERD-003 일별통계.총회원수
촬영시간,SHT_HR,"촬영된 날짜와 시간 정보

[영문] Shooting Hour",시분초C6,,,,"HH : 00~23,  MI : 00~59,  SS : 00~59",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
촬영일자,SHT_YMD,"사람, 사물, 풍경 따위를 사진이나 영화로 찍은 날짜

[영문] Shooting Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
촬영장비,SHT_EQMT,"촬영에 사용된 장비

[영문] Shooting Equipment",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
촬영장소,ERR_SHT_ADDR,"CCTV나 카메라가 설치된 장소 또는 위치

[영문] Shooting Address",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
촬영주소,SHT_ADDR,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.sht_addr)
출력메타,OTPT_META,"AI 호출 출력 메타정보 (JSONB). 출력(OTPT, gov 2824)+메타(META, prog 322). ai_call_logs.output_meta.",,,,,,,,,KLID-PT D006 ERD-004
출처기관,SRC_INST,,,,,,,,,,D003 ERD-008 C그룹 (gis_layers.src_gov_og)
출처유형,SRC_TYPE,"학습데이터 출처 유형(ORIGINAL/AUGMENTED/GENERATED, DFEAT-019). 출처(gov:2846)+유형(gov:1943).",,,V,20,,,,,KLID-PT D003 ERD-006
카메라명,CAM_NM,"카메라의 명칭 또는 구분 이름

[영문] Camera Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
카테고리,CTGRY,FAQ 분류 카테고리 (faq.category→ctgry). 운영·감사 D006.,,,,,,,,,D006 ERD-014 정합
코드설명,CD_EXPLN,"정보를 나타내는 기호 체계/ 코드 구성 요소 중 코드 ID에 대한 설명

[영문] Code Explanation",내용V4000,,,,-,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
코드유형,CD_TYPE,"코드의 유형 구분 (예: 분류 vs 카테고리 등). 단어 조합: 코드(CD, gov 2891) + 유형(TYPE, gov 1943). gov ""코드유형명""(11646) 단축형.",명V20,,,,,,,,KLID-2 D001 ERD-005
탈퇴사유,WHDWL_RSN,탈퇴 사유 텍스트. 탈퇴(gov:2906)+사유(gov:1234).,,,V,4000,,,,,KLID-PT D001 ERD-001 회원탈퇴이력.탈퇴사유
탈퇴유형,WHDWL_TYPE,탈퇴 유형(SELF_WITHDRAWAL/ADMIN_DEACTIVATION). 탈퇴(gov:2906)+유형(gov:1943).,,,V,20,,,,,KLID-PT D001 ERD-001 회원탈퇴이력.탈퇴유형
탈퇴일시,WHDWL_DT,회원 탈퇴 처리 완료 일시(EVT-002 발행 시점). 탈퇴(gov:2906)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D001 ERD-001 회원탈퇴이력.탈퇴일시
탈퇴일자,WHDWL_YMD,"어떠한 조직이나 단체 등에서 관계를 끊고 물러난 날짜

[영문] Withdrawal Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
토큰해시,TOKEN_HASH,"토큰의 해시값. 단어 조합: 토큰(TOKEN, program 419) + 해시(HASH, program 454). 평문 토큰 보관 회피.",명V300,,,,,,,,KLID-2 D001 ERD-005
통계단위,STAT_UNIT,"통계 집계 단위

[영문] Statistics Unit",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
통계일자,STAT_YMD,"통계 일자

[영문] Statistics Year Month Day",,연월일V8,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
통계종류,STATS_KND,,,,,,,,,,D003 ERD-008 C그룹 (resource_stats_unified.stat_kind)
통신사명,TLCMCO_NM,"신문사나 잡지사, 방송 사업체 따위에 뉴스를 제공하는 기관의 이름

[영문] Telecommunication Company Name",,명V30,,,,,,기관표준 영문약어: TLCMCO_NM,KLID-BM 표준용어정의서 (2026-05-28 배포)
통신속도,COMM_SPD,"통신 과정에서 측정된 속도 값

[영문] Communication Speed",수N14,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
통신일시,COMM_DT,"통신이 발생한 날짜와 시각에 대한 정보

[영문] Communication Dt",연월일시분초D,,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
파일경로,FILE_PATH,"파일 경로

[영문] File Path",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
파일이름,FILE_NM,"파일이름

[영문] File Name",명V256,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
파일크기,FILE_SZ,"컴퓨터에서, 파일을 저장할 때 쓰이는 디스크 공간의 큰 정도

[영문] File Size",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
파일형식,FILE_FMT,"해당 파일의 저장 형식 또는 포맷 예: MP4, MOV

[영문] File Format",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
패딩길이,PAD_LEN,ID 시퀀스 발급 시 숫자 부분의 0 패딩 자릿수,,,N,11,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
팩스번호,FAX_NO,"팩스번호

[영문] FAX number",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
페이로드,PYLD,원시 payload jsonb. v2_statistic_events.payload.,,,,,,,,,
페이지키,PAGE_KEY,페이지 가이드의 페이지 식별 키 (page_guides.page_key).,,,,,,,,,D006 ERD-014 정합
폐지일시,ABOL_DT,"폐지된 날짜 및 시각

[영문] Abolish Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
폴대유형,ERR_POLE_TYPE,"폴대의 유형

[영문] Pole Type",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
표준여부,STD_YN,표준 이벤트 코드 매핑 성공 여부. raw 단계에서 표준화 가능 여부 표시,여부C1,,,,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
표준일자,STD_YMD,원천 데이터 표준화 처리 대상 일자. 통합플랫폼/선별관제/관제일지 일별 표준화 상태 집계의 PK,,,D,8,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
프레임수,FRM_CNT,"전체 프레임의 개수

[영문] Frame Count",,정렬N10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프롬프트,PROMPT,생성형AI 입력 프롬프트 텍스트(DFEAT-053). 프롬프트(prog:355).,,,V,4000,,,,,KLID-PT D003 ERD-006
프리셋명,PRESET_NM,프리셋 이름 (1~64자). 전역 UNIQUE,,,V,64,,,,,KLID-저작도구 ERD-019
피처종류,FTR_KND,,,,,,,,,,D003 ERD-008 C그룹 (gis_layer_features.feature_kind)
필수여부,REQ_YN,시스템 설정 항목의 필수 입력 여부. Y인 항목은 빈 값 저장 불가,여부C1,,,,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
학교코드,SCHL_CD,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.school_cd)
함체유무,ENCL_YN,"함체의 유무

[영문] Enclosure Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
해소일시,RESOLVED_DT,신고 해소(RESOLVED) 또는 기각(DISMISSED) 처리 일시,,,D,,,,,,KLID-저작도구 ERD-017
해제사유,RELEASE_RSN,잠금 해제 사유 (예: REDEIDENT),,,V,500,,,,,KLID-저작도구 ERD-020
해제일시,RELEASE_DT,잠금 해제 시각,,,D,,,,,,KLID-저작도구 ERD-020
행위상세,ACTION_DTL,"행위의 상세 내용

[영문] Action Detail",,내용V200,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
행위유형,ACTION_TYPE_CD,"행위의 종류를 나타내는 코드 (예: 생성, 수정, 삭제 등)

[영문] Action Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
행위일시,ACTION_DT,"어떤 행위가 발생한 정확한 일시

[영문] Action Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
행정동명,HDONG_NM,"행정동명

[영문] HDONG Name",,,V,10,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
행정코드,ADMIN_CODE,"각급 기관의 행정업무에 필요한 행정코드를 표준화하여 정해진 절차에 따라 제정, 고시한 행정코드

[영문] Administration Code",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
현재커서,CRRT_CURSOR,"현재 커서 위치 (last_received_at, last_video_id) 복합 cursor 직렬화.",,,,,,,,,
현행여부,CRNT_YN,현재 유효한 버전인지 여부(Y/N). 현행(prog:610)+여부(gov:1711).,여부C1,,,,,,,,KLID-PT D002 ERD-002 terms_versions.is_current
호출상태,CLOT_STTS,"AI 호출 상태 (success/fail/timeout 등). 호출(CLOT, gov 3197)+상태(STTS, gov 1291). ai_call_logs.call_status.",,,,,,,,,KLID-PT D006 ERD-004
확인일시,IDNTY_DT,"공지 확인(닫음) 일시 (notice_dismissals.dismissed_at). 단어 조합: 확인(IDNTY, gov 3209) + 일시(DT, gov 2056).",,,,,,,,,D006 ERD-014 정합
활성여부,ACTVTN_YN,active 엔드포인트 여부(동시 1건 partial unique). genai_endpoints.is_active,여부C1,,,,,,,,KLID-2 D007 ERD-007
활용목적,UTLZ_PRPS,회원의 데이터 활용 목적. 활용(gov:3234)+목적(gov:830).,,,V,50,,,,,KLID-PT D002 ERD-002 members.purpose
활용용도,PURPOSE,협약 클라이언트의 데이터 활용 용도.,,,V,500,,,,,
회선번호,LINE_NO,"통신사가 회선(물리·논리 연결)을 식별·관리하기 위해 부여하는 번호

[영문] Line Number",,명V15,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
가이드본문,GD_MTXT,페이지 가이드 본문 (page_guides.guide_body).,,,,,,,,,D006 ERD-014 정합
가이드제목,GD_TTL,페이지 가이드 제목 (page_guides.guide_title).,,,,,,,,,D006 ERD-014 정합
감지시작초,DETECT_BGNG_SEC,VLM이 영상 내 이벤트를 감지한 시작 지점(초 단위),,,N,11,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
감지종료초,DETECT_END_SEC,VLM이 영상 내 이벤트를 감지한 종료 지점(초 단위),,,N,11,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
검수아이디,RVW_ID,검수자(REVIEWER) ID. 논리명 관례 = 검수(RVW) + 아이디(_ID) (2026-07-10 사용자 확정).,,,V,30,,,,,KLID-저작도구 ERD-010
게시글내용,NOTICE_CN,게시글 본문,,,V,4000,,,,,KLID-저작도구 ERD-022
게시글제목,NOTICE_TITLE,게시글 제목,,,V,200,,,,,KLID-저작도구 ERD-022
게시물내용,PST_CN,"게시물 내용

[영문] Post Content",,내용LT,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
게시물제목,PST_TTL,"여러 사람에게 알리기 위하여 두루 보게 한 물건이나 글의 내용을 대표하여 붙이는 이름

[영문] Post Title",명V256,,,,-,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
계량기번호,MSINS_NO,"수량을 헤아리는 데 쓰는 기구에 부여하는 식별 번호

[영문] Measuring Instrument Number",,,V,50,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
공지식별자,NTC_ID,공지 ID(FK). 숨김이 속한 공지 (notice_dismissals.notice_id).,,,,,,,,,D006 ERD-014 정합
공지아이디,NTC_ID,"공지사항을 식별하기 위한 고유 ID

[영문] Notice Id",,식별자V36,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
관리부서명,MNG_DEPT_NM,"관리하는 부서 이름

[영문] Management Department Name",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
권한그룹명,AUTHRT_GROUP_NM,"함께 행동하거나 공통점이 있어 한데 묶이며 권리나 권력을 행사할 수 있는 사람이나 기관의 무리에 붙인 이름

[영문] Authority Group Name",명V100,,,,-,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
권한아이디,AUTHRT_ID,RBAC 권한 FK. 권한(gov:452)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D002 ERD-002 role_permissions.permission_id
나머지주소,REMN_ADDR,"나머지 추가 주소

[영문] Remaining Address",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터구조,DATA_SHP,"데이터 구조

[영문] Data Shape",,내용LT,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터셋명,DATA_SET_NM,"데이터셋의 명칭

[영문] Data Set Name",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터유형,DATA_TYPE,"데이터의 일반적인 유형 (예: 이미지, 텍스트)

[영문] Data Type",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터출처,DATA_SRC,"데이터가 수집되거나 생성된 출처 정보

[영문] Data Source",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터크기,DATA_SZ,총 데이터 크기(바이트). DFEAT-045 KPI 수치. 데이터(prog:225)+크기(gov:2898).,수N10,,,,,,,,KLID-PT D006 ERD-002 데이터현황스냅샷.데이터크기
데이터형식,DATA_FRM,"데이터의 저장 또는 처리 형식

[영문] Data Form",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
도로명주소,RDNM_ADDR,"도로명주소

[영문] RDNM  Address",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
동의아이디,AGRE_ID,약관동의이력 PK. 동의(gov:740)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D001 ERD-001 약관동의이력.동의ID
등급아이디,GRD_ID,"기여등급 FK(→contribution_tiers). 등급(GRD, gov 748)+아이디(ID, gov 1634). contribution_scores.tier_id.",,,,,,,,,KLID-PT D006 ERD-004
등록아이디,REG_ID,"등록한 식별자(ID)

[영문] Registration Id",,식별자V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
라벨아이디,LBL_ID,"라벨에 부여된 고유 식별자

[영문] Label Id",,식별자V50,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
레이어종류,LAYER_KND,,,,,,,,,,D003 ERD-008 C그룹 (gis_layers.layer_kind)
로그식별자,LOG_ID,"로그 고유 식별자

[영문] Log Id",,식별자V36,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인결과,LGN_RSLT,로그인 시도의 결과(success/fail). 로그인(gov:763)+결과(gov:199).,,,V,20,,,,,KLID-PT D002 ERD-002 login_histories.login_result
로그인일시,LGN_DT,"로그인을 시도한 날짜와 시각

[영문] Login Datetime",,연월일시분초D,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메타아이디,META_ID,"메타데이터 항목의 고유 식별자

[영문] Metadata Id",,식별자V50,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
모델아이디,MDL_ID,"AI 모델 FK(→ai_models). 모델(MDL, gov 822)+아이디(ID, gov 1634). ai_model_versions.model_id.",,,,,,,,,KLID-PT D006 ERD-004
문의아이디,INQRY_ID,문의 PK. 문의(gov:847)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D004 ERD-004 문의.문의아이디
미국산대수,USA_COM,"미국산대수

[영문] USA Made Count Of Machines",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
바이트크기,BYTE_SZ,"전송 바이트 크기. 단어 조합: 바이트(BYTE, program 540) + 크기(SZ, gov 2898). dispatch_logs.byte_size.",,,,,,,,,KLID-2 D004 ERD-010
배정아이디,ASSIGNMENT_ID,작업배정 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-014
배치아이디,BAT_ID,"배치 식별자. ADR-055 chunk_batch_id (uuid v4, 30건 단위) 등 다양한 배치 처리 식별.",,,,,,,,,
보조호스트,SCND_HOST,외부 시스템 보조(이중화) 접속 호스트 주소. VMS 등 다중 호스트 필요 시,,,V,255,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
비상벨유무,EMGBELL_YN,"폴대 비상벨 설치여부

[영문] Emergency Bell Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
비상벨유형,EMGBELL_TYPE,"비상벨유형

[영문] Emergency Bell Type",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
비상벨형태,EMGBELL_SHP,"폴대 비상벨 형태

[영문] Emergency Bell Shape",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
비식별여부,DE_IDENT_YN,"개인정보 비식별 여부 (Y: 비식별 처리됨)

[영문] De-Identification Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자권한,USER_ROLE_CODE,"사용자의 권한을 나타내는 값

[영문] User Authority",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자상태,USER_STTS,"사용자의 현재 상태를 나타내는 값

[영문] User Status",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자설명,USER_EXPLN,"사용자에 대한 추가 설명 또는 메모

[영문] User Explanation",,내용V1000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자순서,USER_SEQ,"사용자 고유 순번 또는 일련번호

[영문] User Sequence Number",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자이름,USER_NM,"사용자의 이름

[영문] User Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
상위식별자,UP_ID,상위(부모) 레코드 ID. 서비스 요청 트리 부모 (service_requests.parent_id).,,,,,,,,,D006 ERD-014 정합
샘플링주기,SMP_CYCL,"데이터를 일정 주기 간격으로 추출할 때 설정되는 주기 정보

[영문] Sampling Cycle",시분C4,,,,"HH : 00~23,  MI : 00~59",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
샘플아이디,SAMPLE_ID,"샘플 FK(→training_samples). 단어 조합: 샘플(SAMPLE, prog 566) + 아이디(ID, gov 1634). task_samples/annotations.sample_id.",,,,,,,,,KLID-PT D005 ERD-006
설정대역폭,STNG_BW,"설정된 또는 적용된 대역폭 값

[영문] Setting Bandwidth",수N14,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
세부이벤트,DTL_EVNT,"이벤트 분류 매핑 테이블의 세부 이벤트 식별 값. 단어 조합: 세부(DTL, program 477) + 이벤트(EVNT, program 246).",코드C2,,,,,,,,KLID-2 D001 ERD-005
소속기관명,USER_OG_NM,"사용자가 소속된 기관 이름

[영문] User Organization Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
소속부서명,USER_DP_NM,"사용자가 소속된 부서의 이름

[영문] User Department Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
소재지코드,LOC_CD,"소재지코드

[영문] Location Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
속성아이디,ATTR_ID,속성 정의 FK→LS_LABEL_ATTR.ATTR_ID,,,N,19,,,,,KLID-저작도구 ERD-010
수정아이디,MDFCN_ID,"데이터를 수정 ID

[영문] Modification Id",,식별자V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수집행사명,CLCT_EVNT_NM,"중계서버가 수집해야 할 행사(이벤트)의 명칭. 단어 조합: 수집(CLCT, gov 1513) + 행사(EVNT, gov 12618 행사명 기반) + 명. gov 행사명(12618)의 수집 컨텍스트 변형.",명V300,,,,,,,,KLID-2 D001 ERD-005
스피커유무,SPKR_YN,"스피커유무

[영문] Speaker Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
시계열메타,TMSR_META,프레임/시간별 시계열 메타 jsonb.,,,,,,,,,
시군구코드,SGG_CD,"시군구 지역 코드

[영문] Si gun gu Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
시스템유형,SYS_TYPE,"시스템 유형

[영문] System Type",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
식별키해시,IDNTF_KEY_HASH,"중계서버를 식별하는 키의 해시값. 단어 조합: 식별(IDNTF, gov 1590) + 키(KEY, program 453) + 해시(HASH, program 454). 평문 키 노출 방지.",명V300,,,,,,,,KLID-2 D001 ERD-005
신고자번호,REPORTER_NO,비식별 누락을 신고한 사용자(라벨러) 번호,,,N,19,,,,,KLID-저작도구 ERD-017
신규회원수,NEW_MBR_CNT,해당일 신규 가입 회원 수(DFEAT-040 일별·월별 통계). 신규(gov:1597)+회원(gov:3245)+수(gov:1440).,수N10,,,,,,,,KLID-PT D005 ERD-003 일별통계.신규회원수
신뢰도점수,CONF_SCORE,추론 신뢰도(0.0~1.0). 보간 row 는 0.0,,,N,"6,5",,,,,KLID-저작도구 ERD-010
썸네일경로,THMB_PATH,영상 클립의 썸네일 이미지 파일 경로 (로컬 또는 객체 스토리지),,,V,1000,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
썸네일해시,THMB_HASH,썸네일 SHA-256 무결성 해시.,,,,,,,,,
아이디건수,ID_NOCS,"아이디 건수

[영문] Id Number Of Cases",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
아이피주소,IP_ADDR,"OSI 모델의 제3계층(네트워크층)에 해당되는 프로토콜로 IP계층에 따라 다른 네트워크 간 패킷의 전송, 즉 경로 제어를 위한 규약에 따른 주소

[영문] Ip Address",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
액션아이디,ACTN_ID,"원격 액션의 아이디. 단어 조합: 액션(ACTN, program 480) + 아이디(ID).",명V40,,,,,,,,KLID-2 D001 ERD-005
업로드속도,ULD_SPD,"업로드 중인 데이터의 측정된 속도 값

[영문] Upload Speed",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
업로드일시,ULD_DT,응답 등록 시각.,연월일시분초D,,,,,,,,
에러메시지,ERR_MSG,"에러 발생 시 메시지 본문. 단어 조합: 에러(ERR, program 464) + 메시지(MSG, gov 799).",내용V4000,,,,,,,,KLID-2 D001 ERD-005
역할아이디,ROLE_ID,RBAC 역할 FK. 역할(gov:1719)+아이디(gov:1634).,명V20,,,,,,,,"KLID-PT D002 ERD-002 members.role_id, role_permissions.role_id"
영상길이초,VDO_LEN_SEC,"수집 영상의 길이 (초 단위). 단어 조합: 영상(VDO, program 441) + 길이(LEN, gov 560) + 초(SEC, program 384).",수N10,,,,,,,,KLID-2 D001 ERD-005
영상파일명,VDO_FILE_NM,"영상 파일의 이름

[영문] Video File Name",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
오류메시지,ERR_MSG,"오류에 대하여 정의된 메시지

[영문] Error Message",,내용V255,V,1000,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
외부아이디,OTSD_ID,,,,,,,,,,D003 ERD-008 C그룹 (gis_layer_features.external_id)
요청식별자,DMND_ID,서비스 요청 ID(FK). 답변이 속한 요청 (service_request_replies.request_id).,,,,,,,,,D006 ERD-014 정합
요청아이디,DMND_ID,"요청 식별자 (UUID, 36자). ADR-031 cross-domain 텍스트 ref. ERD uuid 타입.",,,V,36,,,,,
요청아이피,DMND_IP,"재사용 감지 시점의 요청 클라이언트 IP 주소. 단어 조합: 요청(RQST, program 490) + IP(표준단어 없음 → 리터럴 유지). ADR-070. D001 relay_reuse_audit.",,,V,45,,,,,KLID-2 D001 ERD-005
워커아이디,WORKER_ID,"완료 큐를 처리하는 워커 식별자. 단어 조합: 워커(WORKER, program 567) + 아이디(ID, gov 1634). completion_queue.worker_id.",,,,,,,,,KLID-2 D004 ERD-010
원본파일명,ORGNL_FILE_NM,"베끼거나 고친 것에 대하여 근본이 되는 하나의 단위로 처리되는 서로 관련 있는 레코드 집합의 이름

[영문] Original File Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
월호출한도,MONTHLY_QUOTA,월 단위 최대 호출 허용 건수.,,,N,10,,,,,
이력식별자,HSTRY_ID,"이력에 대한 고유 식별자

[영문] History Id",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이력아이디,HSTRY_ID,이력 테이블 PK. 로그인이력/탈퇴이력/조치이력 공통. 이력(gov:1980)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D001 ERD-001 로그인이력/회원탈퇴이력/관리자조치이력.이력ID
이미지건수,IMG_NOCS,"데이터셋 이미지 건수. 단어 조합: 이미지(IMG, gov 1984) + 건수(NOCS, gov 168). datasets.image_count.",,,,,,,,,KLID-2 D004 ERD-010
이미지경로,IMG_PATH,배경이미지 NAS 저장 절대경로. background_images.image_path,내용V1000,,,,,,,,KLID-2 D007 ERD-007
이벤트갭초,EVNT_GAP_SEC,동일 카메라 동일 이벤트의 중복 판정 시간 간격(초). 이 값 이내 후속 이벤트는 중복 처리,,,N,11,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
이벤트내용,EVNT_CN,"이벤트에 대한 구체적인 설명 또는 본문

[영문] Event Content",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이벤트설명,EVNT_EXPLN,표준화 이벤트의 상세 설명. 관제지원센터 전송 페이로드 본문,,,V,4000,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
이벤트유형,EVNT_TYPE,"이벤트를 분류하거나 구분하는 유형 값

[영문] Event Type",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이벤트제목,EVNT_TTL,표준화 이벤트의 표시 제목. 화면/전송 페이로드에서 사람이 읽는 짧은 명칭,,,V,200,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
이벤트출처,EVNT_SRC,"이벤트가 발생한 원인이 되는 소스나 위치

[영문] Event Source",,주소V500,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이벤트코드,EVNT_CD,표준화된 이벤트 유형 코드. 외부 벤더 코드를 KLID 6종 표준 + 확장 코드로 매핑한 결과값,,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
인증아이디,CERT_ID,본인인증이력 PK. PASS 인증 건별 고유 식별자. 인증(gov:2037)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D001 ERD-001 본인인증이력.인증ID
일본산대수,JPN_COM,"일본산대수

[영문] Japanese Made Count Of Machines",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
